cargo fmt
cargo build --release
./target/release/sim
>
frame: 127.773416ms
eroding...
1,231
1,247
1,227
1,257
2,123
2,131
2,132
2,127
3,91
3,94
3,96
3,91
4,74
4,82
4,77
4,76
5,66
5,70
5,72
5,68
6,72
6,61
6,59
6,57
7,55
7,59
7,61
7,55
8,55
8,54
8,51
8,55
9,52
9,50
9,50
9,49
10,63
10,54
10,53
10,51
11,89
11,69
11,65
11,62
12,67
12,55
12,55
12,59
13,54
13,55
13,55
13,65
14,52
14,51
14,52
14,56
15,53
15,51
15,52
15,53
16,51
16,51
16,52
16,54
17,52
17,56
17,56
17,51
18,52
18,49
18,50
18,54
19,51
19,52
19,52
19,49
20,55
20,48
20,48
20,48
21,55
21,55
21,55
21,57
22,54
22,66
22,55
22,57
23,57
23,57
23,62
23,55
24,49
24,50
24,49
24,51
25,63
25,49
25,47
25,47
26,52
26,50
26,53
26,51
27,49
27,51
27,49
27,50
28,48
28,48
28,51
28,58
29,51
29,48
29,49
29,51
30,51
30,53
30,51
30,55
31,53
31,56
31,57
31,55
